instance,alpha,obj_value,time
MDG-a_10_100_m10,0,354.96,15.000004768371582
MDG-a_10_100_m10,0.1,355.50000000000006,15.000314712524414
MDG-a_10_100_m10,0.2,355.50000000000017,15.000162839889526
MDG-a_10_100_m10,0.3,355.50000000000017,15.00080680847168
MDG-a_10_100_m10,0.4,355.50000000000017,15.001185655593872
MDG-a_10_100_m10,0.5,355.50000000000017,15.00187349319458
MDG-a_10_100_m10,0.6,355.5000000000001,15.001497983932495
MDG-a_10_100_m10,0.7,355.5000000000001,15.000824928283691
MDG-a_10_100_m10,0.8,355.50000000000017,15.001790285110474
MDG-a_10_100_m10,0.9,355.50000000000017,15.000670194625854
MDG-a_10_100_m10,1,355.5000000000002,15.001687288284302
MDG-a_10_100_m10,-1,355.50000000000017,15.003204107284546
MDG-a_12_100_m10,0,354.25,15.00030779838562
MDG-a_12_100_m10,0.1,354.2500000000001,15.002010107040405
MDG-a_12_100_m10,0.2,354.2500000000001,15.007155895233154
MDG-a_12_100_m10,0.3,354.2500000000001,15.000514507293701
MDG-a_12_100_m10,0.4,354.2500000000001,15.000070333480835
MDG-a_12_100_m10,0.5,354.25000000000017,15.001087665557861
MDG-a_12_100_m10,0.6,354.2500000000002,15.002805709838867
MDG-a_12_100_m10,0.7,354.2500000000001,15.00332236289978
MDG-a_12_100_m10,0.8,354.2500000000001,15.002941846847534
MDG-a_12_100_m10,0.9,354.2500000000001,15.00022578239441
MDG-a_12_100_m10,1,354.2500000000001,15.005515813827515
MDG-a_12_100_m10,-1,354.2500000000001,15.00344705581665
MDG-a_13_n500_m50,0,7727.88,15.03592562675476
MDG-a_13_n500_m50,0.1,7737.559999999998,15.007096767425537
MDG-a_13_n500_m50,0.2,7717.32,15.311191082000732
MDG-a_13_n500_m50,0.3,7683.31,15.169097185134888
MDG-a_13_n500_m50,0.4,7707.249999999998,15.241897106170654
MDG-a_13_n500_m50,0.5,7690.57,15.094209671020508
MDG-a_13_n500_m50,0.6,7727.630000000002,15.254560232162476
MDG-a_13_n500_m50,0.7,7734.439999999999,15.128362655639648
MDG-a_13_n500_m50,0.8,7721.779999999998,15.386962652206421
MDG-a_13_n500_m50,0.9,7723.669999999995,15.000561237335205
MDG-a_13_n500_m50,1,7709.990000000002,15.065725803375244
MDG-a_13_n500_m50,-1,7748.05,15.451979637145996
MDG-a_14_100_m10,0,354.16999999999996,15.000317335128784
MDG-a_14_100_m10,0.1,356.06000000000006,15.000263214111328
MDG-a_14_100_m10,0.2,356.0600000000002,15.001740217208862
MDG-a_14_100_m10,0.3,356.0600000000002,15.002332925796509
MDG-a_14_100_m10,0.4,356.0600000000001,15.003318071365356
MDG-a_14_100_m10,0.5,356.0600000000002,15.002533674240112
MDG-a_14_100_m10,0.6,356.0600000000002,15.000351905822754
MDG-a_14_100_m10,0.7,356.0600000000002,15.00478482246399
MDG-a_14_100_m10,0.8,356.0600000000001,15.00165605545044
MDG-a_14_100_m10,0.9,356.0600000000002,15.00033450126648
MDG-a_14_100_m10,1,356.0600000000001,15.001364946365356
MDG-a_14_100_m10,-1,356.0600000000002,15.000882863998413
MDG-a_16_n500_m50,0,7736.91,15.01024317741394
MDG-a_16_n500_m50,0.1,7744.169999999998,15.00270676612854
MDG-a_16_n500_m50,0.2,7723.889999999998,15.028392553329468
MDG-a_16_n500_m50,0.3,7694.290000000003,15.265726089477539
MDG-a_16_n500_m50,0.4,7774.43,15.168874502182007
MDG-a_16_n500_m50,0.5,7723.319999999999,15.318544387817383
MDG-a_16_n500_m50,0.6,7716.3099999999995,15.175290584564209
MDG-a_16_n500_m50,0.7,7719.009999999999,15.013447523117065
MDG-a_16_n500_m50,0.8,7701.0399999999945,15.029844999313354
MDG-a_16_n500_m50,0.9,7725.01,15.316036224365234
MDG-a_16_n500_m50,1,7704.659999999999,15.074817895889282
MDG-a_16_n500_m50,-1,7683.370000000001,15.023511171340942
MDG-a_17_n500_m50,0,7738.919999999997,15.080058813095093
MDG-a_17_n500_m50,0.1,7782.08,15.092748165130615
MDG-a_17_n500_m50,0.2,7765.749999999998,15.120423793792725
MDG-a_17_n500_m50,0.3,7714.8099999999995,15.226643562316895
MDG-a_17_n500_m50,0.4,7698.190000000002,15.248834609985352
MDG-a_17_n500_m50,0.5,7682.739999999999,15.34371018409729
MDG-a_17_n500_m50,0.6,7674.230000000004,15.078485012054443
MDG-a_17_n500_m50,0.7,7779.920000000003,15.085615396499634
MDG-a_17_n500_m50,0.8,7689.689999999997,15.263648509979248
MDG-a_17_n500_m50,0.9,7674.679999999996,15.075061798095703
MDG-a_17_n500_m50,1,7710.090000000003,15.182422876358032
MDG-a_17_n500_m50,-1,7724.489999999997,15.020015716552734
MDG-a_19_n500_m50,0,7743.030000000001,15.006413221359253
MDG-a_19_n500_m50,0.1,7692.430000000003,15.082878589630127
