instance,alpha,obj_value,time
MDG-a_10_100_m10,0,354.96,60.0002064704895
MDG-a_10_100_m10,0.1,355.50000000000017,60.0000262260437
MDG-a_10_100_m10,0.2,355.50000000000017,60.00015902519226
MDG-a_10_100_m10,0.3,355.50000000000017,60.00188183784485
MDG-a_10_100_m10,0.4,355.50000000000017,60.00029277801514
MDG-a_10_100_m10,0.5,355.50000000000017,60.0000855922699
MDG-a_10_100_m10,0.6,355.50000000000017,60.00156307220459
MDG-a_10_100_m10,0.7,355.50000000000017,60.00075554847717
MDG-a_10_100_m10,0.8,355.50000000000017,60.000900983810425
MDG-a_10_100_m10,0.9,355.5000000000002,60.00108885765076
MDG-a_10_100_m10,1,355.50000000000017,60.00122880935669
MDG-a_10_100_m10,-1,355.50000000000017,60.00080585479736
MDG-a_12_100_m10,0,354.25,60.00078272819519
MDG-a_12_100_m10,0.1,354.2500000000001,60.00030994415283
MDG-a_12_100_m10,0.2,354.25000000000017,60.00100636482239
MDG-a_12_100_m10,0.3,354.2500000000001,60.001635789871216
MDG-a_12_100_m10,0.4,354.25000000000017,60.000781297683716
MDG-a_12_100_m10,0.5,354.25000000000017,60.00031757354736
MDG-a_12_100_m10,0.6,354.2500000000002,60.00068521499634
MDG-a_12_100_m10,0.7,354.2500000000002,60.00169491767883
MDG-a_12_100_m10,0.8,354.2500000000002,60.003875494003296
MDG-a_12_100_m10,0.9,354.2500000000002,60.001216173172
MDG-a_12_100_m10,1,354.25000000000017,60.00007390975952
MDG-a_12_100_m10,-1,354.2500000000002,60.001917123794556
MDG-a_13_n500_m50,0,7763.8899999999985,60.018184661865234
MDG-a_13_n500_m50,0.1,7774.259999999999,60.016857385635376
MDG-a_13_n500_m50,0.2,7793.55,60.02637004852295
MDG-a_13_n500_m50,0.3,7769.500000000002,60.00547170639038
MDG-a_13_n500_m50,0.4,7777.410000000002,60.01363158226013
MDG-a_13_n500_m50,0.5,7756.880000000003,60.100266218185425
MDG-a_13_n500_m50,0.6,7723.650000000005,60.001364946365356
MDG-a_13_n500_m50,0.7,7753.789999999999,60.13851809501648
MDG-a_13_n500_m50,0.8,7735.94,60.113749980926514
MDG-a_13_n500_m50,0.9,7726.420000000006,60.006563663482666
MDG-a_13_n500_m50,1,7749.020000000001,60.13666892051697
MDG-a_13_n500_m50,-1,7751.870000000003,60.02893686294556
MDG-a_14_100_m10,0,354.16999999999996,60.000481843948364
MDG-a_14_100_m10,0.1,356.0600000000002,60.00000238418579
MDG-a_14_100_m10,0.2,356.06000000000023,60.00121736526489
MDG-a_14_100_m10,0.3,356.0600000000002,60.00076603889465
MDG-a_14_100_m10,0.4,356.0600000000002,60.00200915336609
MDG-a_14_100_m10,0.5,356.06000000000023,60.00005269050598
MDG-a_14_100_m10,0.6,356.0600000000002,60.00164794921875
MDG-a_14_100_m10,0.7,356.0600000000002,60.00138568878174
MDG-a_14_100_m10,0.8,356.0600000000002,60.000874042510986
MDG-a_14_100_m10,0.9,356.0600000000002,60.000454902648926
MDG-a_14_100_m10,1,356.0600000000002,60.001163959503174
MDG-a_14_100_m10,-1,356.0600000000002,60.003169298172
