instance,alpha,obj_value,time
MDG-a_10_100_m10,0,354.96,5.001015663146973
MDG-a_10_100_m10,0.1,355.5000000000001,5.000648021697998
MDG-a_10_100_m10,0.2,355.5000000000001,5.000469207763672
MDG-a_10_100_m10,0.3,355.50000000000017,5.000885486602783
MDG-a_10_100_m10,0.4,355.5000000000001,5.000184774398804
MDG-a_10_100_m10,0.5,355.5000000000001,5.0010552406311035
MDG-a_10_100_m10,0.6,355.5000000000001,5.0019495487213135
MDG-a_10_100_m10,0.7,355.50000000000006,5.000467777252197
MDG-a_10_100_m10,0.8,355.50000000000017,5.00242805480957
MDG-a_10_100_m10,0.9,355.50000000000017,5.001024484634399
MDG-a_10_100_m10,1,355.5000000000001,5.000569105148315
MDG-a_10_100_m10,-1,355.50000000000017,5.001585960388184
MDG-a_12_100_m10,0,354.25,5.000200033187866
MDG-a_12_100_m10,0.1,354.2500000000001,5.00017786026001
MDG-a_12_100_m10,0.2,354.2500000000001,5.000394821166992
MDG-a_12_100_m10,0.3,354.25000000000017,5.000342607498169
MDG-a_12_100_m10,0.4,354.2500000000001,5.001031398773193
MDG-a_12_100_m10,0.5,354.2500000000001,5.0010621547698975
MDG-a_12_100_m10,0.6,354.2500000000001,5.0000669956207275
MDG-a_12_100_m10,0.7,354.2500000000002,5.000338554382324
MDG-a_12_100_m10,0.8,354.2500000000002,5.000486373901367
MDG-a_12_100_m10,0.9,354.2500000000001,5.000731945037842
MDG-a_12_100_m10,1,354.2500000000001,5.001880407333374
MDG-a_12_100_m10,-1,354.2500000000002,5.00156307220459
MDG-a_13_n500_m50,0,7749.68,5.017018556594849
MDG-a_13_n500_m50,0.1,7744.440000000001,5.015586614608765
MDG-a_13_n500_m50,0.2,7714.840000000002,5.051130533218384
MDG-a_13_n500_m50,0.3,7707.31,5.031045436859131
MDG-a_13_n500_m50,0.4,7742.779999999996,5.0225138664245605
MDG-a_13_n500_m50,0.5,7719.8,5.0572669506073
MDG-a_13_n500_m50,0.6,7730.0199999999995,5.0161871910095215
MDG-a_13_n500_m50,0.7,7758.699999999999,5.089056968688965
MDG-a_13_n500_m50,0.8,7684.0599999999995,5.097907066345215
MDG-a_13_n500_m50,0.9,7750.260000000002,5.064028739929199
MDG-a_13_n500_m50,1,7714.329999999999,5.157433748245239
MDG-a_13_n500_m50,-1,7713.4,5.075042486190796
MDG-a_14_100_m10,0,354.16999999999996,5.000199794769287
MDG-a_14_100_m10,0.1,356.06000000000006,5.0003345012664795
MDG-a_14_100_m10,0.2,356.0600000000002,5.000864267349243
MDG-a_14_100_m10,0.3,356.0600000000002,5.0019659996032715
MDG-a_14_100_m10,0.4,356.0600000000002,5.000545263290405
MDG-a_14_100_m10,0.5,356.0600000000001,5.001946210861206
MDG-a_14_100_m10,0.6,356.0600000000002,5.00062894821167
MDG-a_14_100_m10,0.7,356.06000000000006,5.000856637954712
MDG-a_14_100_m10,0.8,356.0600000000001,5.000434637069702
MDG-a_14_100_m10,0.9,356.0600000000002,5.001634359359741
MDG-a_14_100_m10,1,356.0600000000002,5.001299142837524
MDG-a_14_100_m10,-1,356.0600000000002,5.000462770462036
MDG-a_16_n500_m50,0,7716.519999999997,5.014896631240845
MDG-a_16_n500_m50,0.1,7699.209999999998,5.029249906539917
MDG-a_16_n500_m50,0.2,7728.980000000003,5.0408103466033936
MDG-a_16_n500_m50,0.3,7756.0999999999985,5.022001028060913
MDG-a_16_n500_m50,0.4,7682.799999999997,5.030634164810181
MDG-a_16_n500_m50,0.5,7696.6,5.0119712352752686
MDG-a_16_n500_m50,0.6,7729.360000000003,5.09552001953125
MDG-a_16_n500_m50,0.7,7715.12,5.073221206665039
MDG-a_16_n500_m50,0.8,7705.41,5.143284559249878
MDG-a_16_n500_m50,0.9,7680.020000000007,5.001132249832153
MDG-a_16_n500_m50,1,7710.879999999995,5.146957635879517
MDG-a_16_n500_m50,-1,7719.829999999998,5.055251836776733
MDG-a_17_n500_m50,0,7738.210000000003,5.001800537109375
MDG-a_17_n500_m50,0.1,7704.539999999997,5.041617155075073
MDG-a_17_n500_m50,0.2,7697.01,5.025672912597656
MDG-a_17_n500_m50,0.3,7707.43,5.069567441940308
MDG-a_17_n500_m50,0.4,7712.040000000003,5.120497465133667
MDG-a_17_n500_m50,0.5,7671.33,5.113006591796875
MDG-a_17_n500_m50,0.6,7711.630000000006,5.068415403366089
MDG-a_17_n500_m50,0.7,7682.289999999999,5.073922395706177
MDG-a_17_n500_m50,0.8,7731.260000000004,5.108970403671265
MDG-a_17_n500_m50,0.9,7669.140000000001,5.078019142150879
MDG-a_17_n500_m50,1,7648.020000000006,5.102425813674927
MDG-a_17_n500_m50,-1,7691.610000000002,5.052010774612427
MDG-a_19_n500_m50,0,7699.490000000001,5.001062393188477
MDG-a_19_n500_m50,0.1,7717.050000000001,5.041849613189697
MDG-a_19_n500_m50,0.2,7651.52,5.0576491355896
MDG-a_19_n500_m50,0.3,7686.559999999995,5.086500883102417
MDG-a_19_n500_m50,0.4,7678.8,5.092604398727417
MDG-a_19_n500_m50,0.5,7663.690000000004,5.000358819961548
MDG-a_19_n500_m50,0.6,7688.009999999998,5.1108622550964355
MDG-a_19_n500_m50,0.7,7636.169999999999,5.10251259803772
MDG-a_19_n500_m50,0.8,7662.819999999999,5.03506875038147
MDG-a_19_n500_m50,0.9,7675.920000000004,5.028977394104004
MDG-a_19_n500_m50,1,7675.39,5.082010746002197
MDG-a_19_n500_m50,-1,7725.109999999996,5.15720009803772
MDG-a_1_100_m10,0,360.1500000000001,5.001013994216919
MDG-a_1_100_m10,0.1,360.1500000000001,5.000809907913208
MDG-a_1_100_m10,0.2,360.1500000000001,5.000556468963623
MDG-a_1_100_m10,0.3,360.1500000000002,5.000148057937622
MDG-a_1_100_m10,0.4,360.15000000000015,5.000133037567139
MDG-a_1_100_m10,0.5,360.1500000000002,5.0011045932769775
MDG-a_1_100_m10,0.6,360.1500000000002,5.001002073287964
MDG-a_1_100_m10,0.7,360.15000000000015,5.00152850151062
MDG-a_1_100_m10,0.8,360.1500000000002,5.000525951385498
MDG-a_1_100_m10,0.9,360.15000000000015,5.001912593841553
MDG-a_1_100_m10,1,360.1500000000002,5.000311374664307
MDG-a_1_100_m10,-1,360.1500000000002,5.000507354736328
MDG-a_20_100_m10,0,349.31,5.00341272354126
MDG-a_20_100_m10,0.1,349.31000000000006,5.000575304031372
MDG-a_20_100_m10,0.2,349.31000000000006,5.00041127204895
MDG-a_20_100_m10,0.3,349.3100000000002,5.002000331878662
MDG-a_20_100_m10,0.4,349.3100000000002,5.001905918121338
