instance,alpha,obj_value,time
MDG-a_10_100_m10,0,354.96,10.000481128692627
MDG-a_10_100_m10,0.1,355.50000000000006,10.000730991363525
MDG-a_10_100_m10,0.2,355.50000000000017,10.000922441482544
MDG-a_10_100_m10,0.3,355.5000000000001,10.000050067901611
MDG-a_10_100_m10,0.4,355.5000000000001,10.0004563331604
MDG-a_10_100_m10,0.5,355.50000000000017,10.000303745269775
MDG-a_10_100_m10,0.6,355.5000000000001,10.001073122024536
MDG-a_10_100_m10,0.7,355.5000000000001,10.001546859741211
MDG-a_10_100_m10,0.8,355.5000000000001,10.001518249511719
MDG-a_10_100_m10,0.9,355.50000000000017,10.002012252807617
MDG-a_10_100_m10,1,355.50000000000017,10.000741243362427
MDG-a_10_100_m10,-1,355.50000000000017,10.000228643417358
MDG-a_12_100_m10,0,354.25,10.000751972198486
MDG-a_12_100_m10,0.1,354.25000000000017,10.000832557678223
MDG-a_12_100_m10,0.2,354.2500000000001,10.001203298568726
MDG-a_12_100_m10,0.3,354.2500000000001,10.003446578979492
MDG-a_12_100_m10,0.4,354.2500000000001,10.0021333694458
MDG-a_12_100_m10,0.5,354.25000000000017,10.000161409378052
MDG-a_12_100_m10,0.6,354.25000000000017,10.001753330230713
MDG-a_12_100_m10,0.7,354.2500000000001,10.00174069404602
MDG-a_12_100_m10,0.8,354.2500000000001,10.000306606292725
MDG-a_12_100_m10,0.9,354.25000000000017,10.001191139221191
MDG-a_12_100_m10,1,354.25000000000017,10.001940965652466
MDG-a_12_100_m10,-1,354.2500000000001,10.00239372253418
MDG-a_13_n500_m50,0,7720.449999999997,10.00949239730835
MDG-a_13_n500_m50,0.1,7731.57,10.024119853973389
MDG-a_13_n500_m50,0.2,7746.76,10.010900735855103
MDG-a_13_n500_m50,0.3,7719.650000000003,10.101814985275269
MDG-a_13_n500_m50,0.4,7718.130000000004,10.137327909469604
MDG-a_13_n500_m50,0.5,7723.01,10.09112000465393
MDG-a_13_n500_m50,0.6,7739.600000000003,10.131321907043457
MDG-a_13_n500_m50,0.7,7712.930000000001,10.007315874099731
