instance,alpha,obj_value,time
MDG-a_10_100_m10,0,354.96,1.0004477500915527
MDG-a_10_100_m10,0.1,355.50000000000006,1.000368356704712
MDG-a_10_100_m10,0.2,355.50000000000006,1.0001060962677002
MDG-a_10_100_m10,0.3,355.5000000000001,1.0009160041809082
MDG-a_10_100_m10,0.4,355.50000000000006,1.0007174015045166
MDG-a_10_100_m10,0.5,355.5000000000001,1.0008666515350342
MDG-a_10_100_m10,0.6,355.50000000000006,1.0009150505065918
MDG-a_10_100_m10,0.7,355.50000000000006,1.0022351741790771
MDG-a_10_100_m10,0.8,355.50000000000006,1.0010097026824951
MDG-a_10_100_m10,0.9,355.50000000000006,1.0004346370697021
MDG-a_10_100_m10,1,355.50000000000006,1.000047206878662
MDG-a_10_100_m10,-1,355.50000000000006,1.000488042831421
MDG-a_12_100_m10,0,354.25,1.0003397464752197
MDG-a_12_100_m10,0.1,354.2500000000001,1.0002543926239014
MDG-a_12_100_m10,0.2,354.2500000000001,1.0001709461212158
MDG-a_12_100_m10,0.3,354.25000000000006,1.0007126331329346
MDG-a_12_100_m10,0.4,354.2500000000001,1.0015249252319336
MDG-a_12_100_m10,0.5,354.2500000000001,1.0013933181762695
MDG-a_12_100_m10,0.6,354.2500000000001,1.0014879703521729
MDG-a_12_100_m10,0.7,354.2500000000001,1.0004005432128906
MDG-a_12_100_m10,0.8,354.2500000000001,1.0023252964019775
MDG-a_12_100_m10,0.9,354.2500000000001,1.0008907318115234
MDG-a_12_100_m10,1,354.2500000000001,1.0004091262817383
MDG-a_12_100_m10,-1,354.25000000000017,1.0012061595916748
MDG-a_13_n500_m50,0,7710.880000000001,1.0011000633239746
MDG-a_13_n500_m50,0.1,7716.839999999998,1.0166370868682861
MDG-a_13_n500_m50,0.2,7653.6399999999985,1.0222604274749756
MDG-a_13_n500_m50,0.3,7701.789999999998,1.1412930488586426
MDG-a_13_n500_m50,0.4,7619.659999999999,1.0887730121612549
MDG-a_13_n500_m50,0.5,7671.99,1.1104202270507812
MDG-a_13_n500_m50,0.6,7664.820000000001,1.1394996643066406
MDG-a_13_n500_m50,0.7,7674.47,1.043039321899414
MDG-a_13_n500_m50,0.8,7639.830000000004,1.0685837268829346
MDG-a_13_n500_m50,0.9,7687.830000000002,1.008470058441162
MDG-a_13_n500_m50,1,7665.73,1.1684370040893555
MDG-a_13_n500_m50,-1,7577.8,1.0662791728973389
MDG-a_14_100_m10,0,354.16999999999996,1.0008959770202637
MDG-a_14_100_m10,0.1,356.06000000000006,1.0006043910980225
MDG-a_14_100_m10,0.2,356.0600000000001,1.0001797676086426
MDG-a_14_100_m10,0.3,356.06000000000006,1.0001590251922607
MDG-a_14_100_m10,0.4,356.0600000000001,1.0002949237823486
MDG-a_14_100_m10,0.5,356.06000000000006,1.0007483959197998
MDG-a_14_100_m10,0.6,356.06000000000006,1.000908374786377
MDG-a_14_100_m10,0.7,356.0600000000002,1.0004916191101074
MDG-a_14_100_m10,0.8,356.0600000000001,1.0018327236175537
MDG-a_14_100_m10,0.9,356.06000000000006,1.0008800029754639
MDG-a_14_100_m10,1,356.0600000000001,1.0029852390289307
MDG-a_14_100_m10,-1,356.06000000000006,1.0019748210906982
MDG-a_16_n500_m50,0,7693.64,1.0209310054779053
MDG-a_16_n500_m50,0.1,7675.560000000005,1.0352261066436768
MDG-a_16_n500_m50,0.2,7704.670000000002,1.0838487148284912
MDG-a_16_n500_m50,0.3,7687.689999999997,1.064629316329956
MDG-a_16_n500_m50,0.4,7704.110000000003,1.0088677406311035
MDG-a_16_n500_m50,0.5,7648.170000000001,1.1200854778289795
MDG-a_16_n500_m50,0.6,7650.830000000004,1.1249406337738037
MDG-a_16_n500_m50,0.7,7675.679999999999,1.0228385925292969
MDG-a_16_n500_m50,0.8,7730.210000000001,1.0348050594329834
MDG-a_16_n500_m50,0.9,7636.33,1.1417226791381836
MDG-a_16_n500_m50,1,7622.969999999999,1.1104910373687744
MDG-a_16_n500_m50,-1,7700.030000000001,1.0970919132232666
MDG-a_17_n500_m50,0,7683.040000000001,1.0172464847564697
MDG-a_17_n500_m50,0.1,7649.729999999998,1.0517363548278809
MDG-a_17_n500_m50,0.2,7646.9,1.0424630641937256
MDG-a_17_n500_m50,0.3,7675.039999999998,1.034625768661499
MDG-a_17_n500_m50,0.4,7687.270000000003,1.0632431507110596
MDG-a_17_n500_m50,0.5,7669.430000000001,1.135829210281372
MDG-a_17_n500_m50,0.6,7656.93,1.0050716400146484
MDG-a_17_n500_m50,0.7,7630.370000000007,1.1282899379730225
MDG-a_17_n500_m50,0.8,7629.949999999998,1.1322929859161377
MDG-a_17_n500_m50,0.9,7701.609999999999,1.076054573059082
MDG-a_17_n500_m50,1,7667.499999999997,1.011833906173706
MDG-a_17_n500_m50,-1,7637.7999999999965,1.103278398513794
MDG-a_19_n500_m50,0,7668.23,1.0227985382080078
MDG-a_19_n500_m50,0.1,7652.9000000000015,1.0116736888885498
MDG-a_19_n500_m50,0.2,7644.420000000002,1.0102314949035645
MDG-a_19_n500_m50,0.3,7714.729999999997,1.1088252067565918
MDG-a_19_n500_m50,0.4,7598.869999999998,1.0254151821136475
MDG-a_19_n500_m50,0.5,7649.100000000002,1.0124781131744385
