path,alpha,iters,max_time,nsols,prop_time_grasp,local_search_before,local_search_after,random_pairs,obj_value,time_taken
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,True,True,None,355.7200000000003,0.10345292091369629
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,True,False,None,355.72000000000025,0.10699200630187988
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,False,True,None,355.72,0.10043883323669434
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,False,False,None,354.4899999999999,0.10358190536499023
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,True,True,2,355.7200000000001,0.10348200798034668
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,True,False,2,355.7200000000002,0.10243558883666992
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,False,True,2,355.72,0.1013031005859375
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,False,False,2,355.72,0.1074059009552002
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,True,True,3,355.72000000000014,0.10012292861938477
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,True,False,3,355.72000000000025,0.10163426399230957
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,False,True,3,355.7200000000001,0.10632181167602539
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,False,False,3,355.72,0.1018972396850586
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,True,True,4,355.72,0.10062050819396973
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,True,False,4,355.72000000000014,0.1053926944732666
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,False,True,4,350.45,0.10544681549072266
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,False,False,4,355.72,0.10067915916442871
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,True,True,5,355.72000000000025,0.10060620307922363
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,True,False,5,355.72000000000025,0.10428905487060547
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,False,True,5,353.51,0.10601019859313965
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.05,False,False,5,353.51,0.10491251945495605
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.1,True,True,None,355.72,0.1012730598449707
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.1,True,False,None,353.5100000000001,0.11052608489990234
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.1,False,True,None,355.72,0.10782623291015625
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.1,False,False,None,348.3000000000002,0.10447072982788086
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.1,True,True,2,355.7200000000001,0.10213971138000488
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.1,True,False,2,355.72000000000014,0.11200284957885742
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.1,False,True,2,355.7200000000001,0.10528302192687988
MDG-a_4_100_m10.txt,0.1,999999,0.1,999999,0.1,False,False,2,349.88000000000017,0.10111665725708008
