path,alpha,iters,max_time,nsols,prop_time_grasp,local_search_before,local_search_after,random_pairs,obj_value,time_taken
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,True,True,None,348.6800000000001,0.10026144981384277
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,True,False,None,348.6800000000001,0.1032414436340332
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,False,True,None,346.77000000000004,0.10187625885009766
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,False,False,None,348.68000000000006,0.1044473648071289
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,True,True,2,348.6800000000001,0.10242772102355957
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,True,False,2,347.09000000000015,0.1005096435546875
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,False,True,2,348.68000000000006,0.10284042358398438
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,False,False,2,344.69000000000017,0.10279965400695801
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,True,True,3,348.6800000000001,0.10236477851867676
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,True,False,3,347.0900000000001,0.1024625301361084
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,False,True,3,343.63,0.10183048248291016
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,False,False,3,348.29999999999995,0.10382533073425293
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,True,True,4,346.77,0.10837078094482422
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,True,False,4,348.6800000000001,0.1033012866973877
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,False,True,4,346.7700000000001,0.10430550575256348
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,False,False,4,346.11,0.1039280891418457
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,True,True,5,349.3100000000001,0.10107541084289551
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,True,False,5,348.6800000000001,0.10076475143432617
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,False,True,5,346.1100000000001,0.10265994071960449
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.05,False,False,5,343.6300000000001,0.10442471504211426
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,True,True,None,348.68,0.10927844047546387
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,True,False,None,348.6800000000001,0.10469722747802734
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,False,True,None,346.77000000000004,0.1078639030456543
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,False,False,None,348.68000000000006,0.10044503211975098
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,True,True,2,349.31000000000006,0.10489058494567871
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,True,False,2,349.31000000000006,0.10181212425231934
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,False,True,2,348.6800000000002,0.10712933540344238
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,False,False,2,347.8700000000001,0.10994935035705566
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,True,True,3,349.3099999999999,0.10478830337524414
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,True,False,3,349.31000000000006,0.10262560844421387
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,False,True,3,348.67999999999995,0.10176777839660645
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,False,False,3,345.94000000000005,0.10017156600952148
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,True,True,4,348.6800000000001,0.11155080795288086
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,True,False,4,348.3000000000002,0.10564827919006348
MDG-a_20_100_m10.txt,0.1,999999,0.1,999999,0.1,False,True,4,349.30999999999995,0.10003328323364258
