path,alpha,iters,max_time,nsols,prop_time_grasp,local_search_before,local_search_after,random_pairs,obj_value,time_taken
MDG-a_16_n500_m50.txt,0.1,999999,0.1,10,-1,False,False,2,7567.159999999997,0.17478704452514648
MDG-a_16_n500_m50.txt,0.1,999999,0.1,10,-1,True,True,3,7741.950000000003,0.5388498306274414
MDG-a_16_n500_m50.txt,0.1,999999,0.1,10,-1,True,False,3,7702.230000000002,0.5809345245361328
MDG-a_16_n500_m50.txt,0.1,999999,0.1,10,-1,False,True,3,7680.209999999999,0.2405707836151123
MDG-a_16_n500_m50.txt,0.1,999999,0.1,10,-1,False,False,3,7542.989999999997,0.1860814094543457
MDG-a_16_n500_m50.txt,0.1,999999,0.1,10,-1,True,True,4,7633.349999999999,0.48180556297302246
MDG-a_16_n500_m50.txt,0.1,999999,0.1,10,-1,True,False,4,7732.51,0.5799834728240967
MDG-a_16_n500_m50.txt,0.1,999999,0.1,10,-1,False,True,4,7667.790000000002,0.26558446884155273
MDG-a_16_n500_m50.txt,0.1,999999,0.1,10,-1,False,False,4,7603.300000000003,0.2267768383026123
MDG-a_16_n500_m50.txt,0.1,999999,0.1,10,-1,True,True,5,7654.32,0.5617399215698242
MDG-a_16_n500_m50.txt,0.1,999999,0.1,10,-1,True,False,5,7656.850000000001,0.5212078094482422
MDG-a_16_n500_m50.txt,0.1,999999,0.1,10,-1,False,True,5,7607.949999999998,0.24498820304870605
MDG-a_16_n500_m50.txt,0.1,999999,0.1,10,-1,False,False,5,7550.900000000006,0.18590903282165527
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,True,True,None,7679.510000000003,0.8908977508544922
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,True,False,None,7715.690000000003,0.7921726703643799
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,False,True,None,7685.450000000003,0.2888352870941162
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,False,False,None,7587.149999999998,0.2361295223236084
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,True,True,2,7716.640000000001,0.8699920177459717
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,True,False,2,7732.130000000002,1.0432052612304688
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,False,True,2,7681.63,0.35202550888061523
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,False,False,2,7586.299999999999,0.2712249755859375
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,True,True,3,7697.600000000002,0.910306453704834
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,True,False,3,7707.340000000003,0.9412004947662354
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,False,True,3,7680.190000000003,0.37834930419921875
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,False,False,3,7583.780000000003,0.2866685390472412
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,True,True,4,7668.47,0.9694576263427734
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,True,False,4,7686.970000000008,1.1552269458770752
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,False,True,4,7641.98,0.4658207893371582
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,False,False,4,7599.020000000002,0.30559206008911133
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,True,True,5,7787.410000000001,1.0078182220458984
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,True,False,5,7659.910000000001,1.2401502132415771
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,False,True,5,7678.819999999997,0.5213472843170166
MDG-a_16_n500_m50.txt,0.1,999999,0.1,20,-1,False,False,5,7613.020000000001,0.5357060432434082
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,True,True,None,7738.219999999999,1.140923261642456
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,True,False,None,7667.550000000003,1.082122564315796
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,False,True,None,7756.959999999996,1.0682826042175293
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,False,False,None,7635.520000000005,1.0496008396148682
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,True,True,2,7630.930000000002,1.2233028411865234
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,True,False,2,7683.82,1.11916184425354
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,False,True,2,7641.860000000001,1.0637013912200928
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,False,False,2,7629.5400000000045,1.0186083316802979
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,True,True,3,7694.78,1.1039378643035889
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,True,False,3,7653.830000000005,1.005077838897705
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,False,True,3,7637.360000000004,1.0680012702941895
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,False,False,3,7668.82,1.0562455654144287
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,True,True,4,7740.930000000007,1.0267126560211182
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,True,False,4,7662.290000000006,1.0571012496948242
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,False,True,4,7693.9599999999955,1.05446457862854
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,False,False,4,7644.870000000001,1.0521414279937744
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,True,True,5,7639.41,1.023481845855713
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,True,False,5,7698.829999999998,1.157813549041748
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,False,True,5,7653.639999999999,1.021024227142334
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.05,False,False,5,7616.7800000000025,1.0670621395111084
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,True,True,None,7752.450000000005,1.1350419521331787
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,True,False,None,7717.049999999999,1.1420109272003174
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,False,True,None,7637.7099999999955,1.01381516456604
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,False,False,None,7673.539999999999,1.050870418548584
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,True,True,2,7636.520000000004,1.0922038555145264
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,True,False,2,7710.8300000000045,1.1520872116088867
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,False,True,2,7721.030000000006,1.0868384838104248
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,False,False,2,7589.429999999999,1.1020588874816895
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,True,True,3,7680.630000000005,1.0655603408813477
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,True,False,3,7743.460000000004,1.1320877075195312
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,False,True,3,7652.079999999996,1.1325764656066895
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,False,False,3,7608.810000000002,1.004770040512085
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,True,True,4,7723.040000000007,1.1124603748321533
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,True,False,4,7714.9400000000005,1.0666844844818115
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,False,True,4,7710.160000000002,1.1459119319915771
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,False,False,4,7644.429999999997,1.0637142658233643
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,True,True,5,7690.690000000002,1.1133973598480225
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,True,False,5,7699.280000000001,1.1488924026489258
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,False,True,5,7707.1,1.073244333267212
MDG-a_16_n500_m50.txt,0.1,999999,1,999999,0.1,False,False,5,7636.83,1.0746550559997559
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,True,True,None,7750.449999999999,1.128251552581787
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,True,False,None,7694.420000000002,1.9132089614868164
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,False,True,None,7697.91,1.0675604343414307
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,False,False,None,7630.170000000002,1.2642333507537842
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,True,True,2,7700.580000000003,1.4598605632781982
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,True,False,2,7677.66,1.6935577392578125
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,False,True,2,7669.0599999999995,1.2545835971832275
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,False,False,2,7643.609999999997,1.1163475513458252
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,True,True,3,7653.030000000001,1.311166763305664
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,True,False,3,7681.860000000002,1.3627407550811768
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,False,True,3,7709.789999999998,1.0888891220092773
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,False,False,3,7644.370000000003,1.0960097312927246
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,True,True,4,7757.580000000001,1.5562238693237305
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,True,False,4,7685.060000000002,1.6215245723724365
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,False,True,4,7685.990000000001,1.208646297454834
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,False,False,4,7669.189999999998,1.1350202560424805
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,True,True,5,7710.610000000001,1.3350520133972168
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,True,False,5,7687.500000000002,1.5217978954315186
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,False,True,5,7698.240000000005,1.4301884174346924
MDG-a_16_n500_m50.txt,0.1,999999,1,10,-1,False,False,5,7657.959999999999,1.2552375793457031
MDG-a_16_n500_m50.txt,0.1,999999,1,20,-1,True,True,None,7709.480000000002,1.4729585647583008
MDG-a_16_n500_m50.txt,0.1,999999,1,20,-1,True,False,None,7687.159999999998,1.4504978656768799
MDG-a_16_n500_m50.txt,0.1,999999,1,20,-1,False,True,None,7653.640000000003,1.5238978862762451
MDG-a_16_n500_m50.txt,0.1,999999,1,20,-1,False,False,None,7603.88,1.6712100505828857
MDG-a_16_n500_m50.txt,0.1,999999,1,20,-1,True,True,2,7698.01,2.646277666091919
MDG-a_16_n500_m50.txt,0.1,999999,1,20,-1,True,False,2,7660.999999999997,1.7150800228118896
MDG-a_16_n500_m50.txt,0.1,999999,1,20,-1,False,True,2,7677.020000000001,1.238112211227417
MDG-a_16_n500_m50.txt,0.1,999999,1,20,-1,False,False,2,7593.0199999999995,1.0757026672363281
